[START]	 Start Request By FPS Request	 2022-12-02 20:58:16
[START]	 Start Response	 2022-12-02 20:58:16
[RESULT]	 PID: 22101	 cpu usage: 0.0%	 memory usage : 0.265%
[SUCCESS]	 Matrix #1	 Recieved	 0.266
[RESULT]	 PID: 22101	 cpu usage: 100.2%	 memory usage : 0.265%
[SUCCESS]	 Matrix #2	 Recieved	 0.418
[RESULT]	 PID: 22101	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #3	 Recieved	 0.639
[RESULT]	 PID: 22101	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #4	 Recieved	 0.774
[RESULT]	 PID: 22101	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #5	 Recieved	 0.942
[RESULT]	 PID: 22101	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #6	 Recieved	 1.093
[RESULT]	 PID: 22101	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #7	 Recieved	 1.294
[RESULT]	 PID: 22101	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #8	 Recieved	 1.462
[RESULT]	 PID: 22101	 cpu usage: 100.1%	 memory usage : 0.266%
[SUCCESS]	 Matrix #9	 Recieved	 1.655
[RESULT]	 PID: 22101	 cpu usage: 100.2%	 memory usage : 0.266%
[SUCCESS]	 Matrix #10	 Recieved	 1.832
[RESULT]	 PID: 22101	 cpu usage: 95.1%	 memory usage : 0.267%
[SUCCESS]	 Matrix #11	 Recieved	 2.009
[RESULT]	 PID: 22101	 cpu usage: 0.9%	 memory usage : 0.267%
[SUCCESS]	 Matrix #12	 Recieved	 2.230
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.267%
[SUCCESS]	 Matrix #13	 Recieved	 2.406
[RESULT]	 PID: 22101	 cpu usage: 2.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #14	 Recieved	 2.590
[RESULT]	 PID: 22101	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #15	 Recieved	 2.783
[RESULT]	 PID: 22101	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #16	 Recieved	 2.974
[RESULT]	 PID: 22101	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #17	 Recieved	 3.178
[RESULT]	 PID: 22101	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #18	 Recieved	 3.330
[RESULT]	 PID: 22101	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #19	 Recieved	 3.494
[RESULT]	 PID: 22101	 cpu usage: 100.1%	 memory usage : 0.268%
[SUCCESS]	 Matrix #20	 Recieved	 3.656
[RESULT]	 PID: 22101	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #21	 Recieved	 3.830
[RESULT]	 PID: 22101	 cpu usage: 100.2%	 memory usage : 0.269%
[SUCCESS]	 Matrix #22	 Recieved	 4.035
[RESULT]	 PID: 22101	 cpu usage: 100.1%	 memory usage : 0.269%
[SUCCESS]	 Matrix #23	 Recieved	 4.203
[RESULT]	 PID: 22101	 cpu usage: 97.5%	 memory usage : 0.270%
[SUCCESS]	 Matrix #24	 Recieved	 4.358
[RESULT]	 PID: 22101	 cpu usage: 0.6%	 memory usage : 0.270%
[SUCCESS]	 Matrix #25	 Recieved	 4.523
[RESULT]	 PID: 22101	 cpu usage: 1.2%	 memory usage : 0.270%
[SUCCESS]	 Matrix #26	 Recieved	 4.677
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.270%
[SUCCESS]	 Matrix #27	 Recieved	 4.886
[RESULT]	 PID: 22101	 cpu usage: 2.0%	 memory usage : 0.270%
[SUCCESS]	 Matrix #28	 Recieved	 5.044
[RESULT]	 PID: 22101	 cpu usage: 1.6%	 memory usage : 0.270%
[SUCCESS]	 Matrix #29	 Recieved	 5.602
[RESULT]	 PID: 22101	 cpu usage: 2.0%	 memory usage : 0.270%
[SUCCESS]	 Matrix #30	 Recieved	 5.763
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.270%
[SUCCESS]	 Matrix #31	 Recieved	 5.925
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.270%
[SUCCESS]	 Matrix #32	 Recieved	 6.129
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.270%
[SUCCESS]	 Matrix #33	 Recieved	 6.298
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.270%
[SUCCESS]	 Matrix #34	 Recieved	 6.463
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.271%
[SUCCESS]	 Matrix #35	 Recieved	 6.630
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.271%
[SUCCESS]	 Matrix #36	 Recieved	 6.805
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[SUCCESS]	 Matrix #37	 Recieved	 7.014
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.271%
[SUCCESS]	 Matrix #38	 Recieved	 7.181
[RESULT]	 PID: 22101	 cpu usage: 2.0%	 memory usage : 0.271%
[SUCCESS]	 Matrix #39	 Recieved	 7.346
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[SUCCESS]	 Matrix #40	 Recieved	 7.512
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.271%
[SUCCESS]	 Matrix #41	 Recieved	 7.681
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[SUCCESS]	 Matrix #42	 Recieved	 7.894
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[SUCCESS]	 Matrix #43	 Recieved	 8.063
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[SUCCESS]	 Matrix #44	 Recieved	 8.228
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.271%
[SUCCESS]	 Matrix #45	 Recieved	 8.399
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[SUCCESS]	 Matrix #46	 Recieved	 8.565
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[SUCCESS]	 Matrix #47	 Recieved	 8.780
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.271%
[SUCCESS]	 Matrix #48	 Recieved	 8.949
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[SUCCESS]	 Matrix #49	 Recieved	 9.123
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.271%
[SUCCESS]	 Matrix #50	 Recieved	 9.296
[RESULT]	 PID: 22101	 cpu usage: 2.0%	 memory usage : 0.271%
[SUCCESS]	 Matrix #51	 Recieved	 9.469
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[SUCCESS]	 Matrix #52	 Recieved	 9.692
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[SUCCESS]	 Matrix #53	 Recieved	 9.882
[RESULT]	 PID: 22101	 cpu usage: 2.0%	 memory usage : 0.271%
[FAIL]	 Matrix #54	 Not Recieved	 10.034
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[FAIL]	 Matrix #55	 Not Recieved	 10.217
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[FAIL]	 Matrix #56	 Not Recieved	 10.380
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.271%
[FAIL]	 Matrix #57	 Not Recieved	 10.597
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.271%
[FAIL]	 Matrix #58	 Not Recieved	 10.765
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[FAIL]	 Matrix #59	 Not Recieved	 10.945
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.271%
[FAIL]	 Matrix #60	 Not Recieved	 11.116
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[FAIL]	 Matrix #61	 Not Recieved	 11.307
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[FAIL]	 Matrix #62	 Not Recieved	 11.529
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[FAIL]	 Matrix #63	 Not Recieved	 11.727
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[FAIL]	 Matrix #64	 Not Recieved	 11.927
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[FAIL]	 Matrix #65	 Not Recieved	 12.118
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[FAIL]	 Matrix #66	 Not Recieved	 12.310
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[FAIL]	 Matrix #67	 Not Recieved	 12.558
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[FAIL]	 Matrix #68	 Not Recieved	 12.762
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[FAIL]	 Matrix #69	 Not Recieved	 12.955
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.271%
[FAIL]	 Matrix #70	 Not Recieved	 13.151
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[FAIL]	 Matrix #71	 Not Recieved	 13.342
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[FAIL]	 Matrix #72	 Not Recieved	 13.572
[RESULT]	 PID: 22101	 cpu usage: 1.6%	 memory usage : 0.271%
[FAIL]	 Matrix #73	 Not Recieved	 13.772
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[FAIL]	 Matrix #74	 Not Recieved	 13.970
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[FAIL]	 Matrix #75	 Not Recieved	 14.156
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[FAIL]	 Matrix #76	 Not Recieved	 14.358
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[FAIL]	 Matrix #77	 Not Recieved	 14.636
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[FAIL]	 Matrix #78	 Not Recieved	 14.840
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[FAIL]	 Matrix #79	 Not Recieved	 15.046
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[FAIL]	 Matrix #80	 Not Recieved	 15.253
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[FAIL]	 Matrix #81	 Not Recieved	 15.451
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[FAIL]	 Matrix #82	 Not Recieved	 15.689
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[FAIL]	 Matrix #83	 Not Recieved	 15.903
[RESULT]	 PID: 22101	 cpu usage: 1.9%	 memory usage : 0.271%
[FAIL]	 Matrix #84	 Not Recieved	 16.105
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
[FAIL]	 Matrix #85	 Not Recieved	 16.304
[RESULT]	 PID: 22101	 cpu usage: 1.8%	 memory usage : 0.271%
[FAIL]	 Matrix #86	 Not Recieved	 16.513
[RESULT]	 PID: 22101	 cpu usage: 1.7%	 memory usage : 0.271%
