[START]	 Start Request By FPS Request	 2022-11-26 11:36:59
[START]	 Start Response	 2022-11-26 11:36:59
[RESULT]	 PID: 80203	 cpu usage: 0.0%	 memory usage : 0.267%
[SUCCESS]	 Matrix #1	 Recieved	 0.101
[RESULT]	 PID: 80203	 cpu usage: 100.2%	 memory usage : 0.268%
[SUCCESS]	 Matrix #2	 Recieved	 0.190
[RESULT]	 PID: 80203	 cpu usage: 100.3%	 memory usage : 0.269%
[SUCCESS]	 Matrix #3	 Recieved	 0.235
[RESULT]	 PID: 80203	 cpu usage: 100.4%	 memory usage : 0.269%
[SUCCESS]	 Matrix #4	 Recieved	 0.291
[RESULT]	 PID: 80203	 cpu usage: 100.3%	 memory usage : 0.269%
[SUCCESS]	 Matrix #5	 Recieved	 0.354
[RESULT]	 PID: 80203	 cpu usage: 100.4%	 memory usage : 0.269%
[SUCCESS]	 Matrix #6	 Recieved	 0.433
[RESULT]	 PID: 80203	 cpu usage: 95.6%	 memory usage : 0.271%
[SUCCESS]	 Matrix #7	 Recieved	 0.492
[RESULT]	 PID: 80203	 cpu usage: 99.7%	 memory usage : 0.271%
[SUCCESS]	 Matrix #8	 Recieved	 0.564
[RESULT]	 PID: 80203	 cpu usage: 100.4%	 memory usage : 0.271%
[SUCCESS]	 Matrix #9	 Recieved	 0.626
[RESULT]	 PID: 80203	 cpu usage: 100.2%	 memory usage : 0.271%
[SUCCESS]	 Matrix #10	 Recieved	 0.684
[RESULT]	 PID: 80203	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #11	 Recieved	 0.745
[RESULT]	 PID: 80203	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #12	 Recieved	 0.806
[RESULT]	 PID: 80203	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #13	 Recieved	 0.873
[RESULT]	 PID: 80203	 cpu usage: 100.2%	 memory usage : 0.272%
[SUCCESS]	 Matrix #14	 Recieved	 0.940
[RESULT]	 PID: 80203	 cpu usage: 100.1%	 memory usage : 0.272%
[SUCCESS]	 Matrix #15	 Recieved	 0.995
[RESULT]	 PID: 80203	 cpu usage: 95.9%	 memory usage : 0.274%
[SUCCESS]	 Matrix #16	 Recieved	 1.076
[RESULT]	 PID: 80203	 cpu usage: 96.9%	 memory usage : 0.274%
[SUCCESS]	 Matrix #17	 Recieved	 1.144
[RESULT]	 PID: 80203	 cpu usage: 100.2%	 memory usage : 0.274%
[SUCCESS]	 Matrix #18	 Recieved	 1.211
[RESULT]	 PID: 80203	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #19	 Recieved	 1.276
[RESULT]	 PID: 80203	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #20	 Recieved	 1.345
[RESULT]	 PID: 80203	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #21	 Recieved	 1.405
[RESULT]	 PID: 80203	 cpu usage: 100.2%	 memory usage : 0.274%
[SUCCESS]	 Matrix #22	 Recieved	 1.459
[RESULT]	 PID: 80203	 cpu usage: 100.0%	 memory usage : 0.274%
[SUCCESS]	 Matrix #23	 Recieved	 1.513
[RESULT]	 PID: 80203	 cpu usage: 100.2%	 memory usage : 0.274%
[SUCCESS]	 Matrix #24	 Recieved	 1.580
[RESULT]	 PID: 80203	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #25	 Recieved	 1.647
[RESULT]	 PID: 80203	 cpu usage: 98.0%	 memory usage : 0.274%
[SUCCESS]	 Matrix #26	 Recieved	 1.721
[RESULT]	 PID: 80203	 cpu usage: 100.1%	 memory usage : 0.274%
[SUCCESS]	 Matrix #27	 Recieved	 1.782
[RESULT]	 PID: 80203	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #28	 Recieved	 1.845
[RESULT]	 PID: 80203	 cpu usage: 100.0%	 memory usage : 0.274%
[SUCCESS]	 Matrix #29	 Recieved	 1.903
[RESULT]	 PID: 80203	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #30	 Recieved	 1.983
[RESULT]	 PID: 80203	 cpu usage: 100.3%	 memory usage : 0.274%
[SUCCESS]	 Matrix #31	 Recieved	 2.036
[RESULT]	 PID: 80203	 cpu usage: 100.2%	 memory usage : 0.274%
